Date,Blood Type,Donations
2010-01-01,all,675
2010-01-02,all,633
2010-01-03,all,1169
2010-01-04,all,531
2010-01-05,all,1111
2010-01-06,all,1180
2010-01-07,all,1185
2010-01-08,all,916
2010-01-09,all,1365
2010-01-10,all,1993
2010-01-11,all,1578
2010-01-12,all,1603
2010-01-13,all,1827
2010-01-14,all,1504
2010-01-15,all,751
2010-01-16,all,1313
2010-01-17,all,1134
2010-01-18,all,1068
2010-01-19,all,1227
2010-01-20,all,2262
2010-01-21,all,2537
2010-01-22,all,1693
2010-01-23,all,1110
2010-01-24,all,1471
2010-01-25,all,1163
2010-01-26,all,964
2010-01-27,all,1369
2010-01-28,all,1350
2010-01-29,all,842
2010-01-30,all,2030
2010-01-31,all,1000
2010-02-01,all,771
2010-02-02,all,1197
2010-02-03,all,1940
2010-02-04,all,2086
2010-02-05,all,656
2010-02-06,all,1604
2010-02-07,all,1214
2010-02-08,all,1300
2010-02-09,all,1285
2010-02-10,all,1303
2010-02-11,all,1871
2010-02-12,all,539
2010-02-13,all,745
2010-02-14,all,257
2010-02-15,all,364
2010-02-16,all,364
2010-02-17,all,1018
2010-02-18,all,1211
2010-02-19,all,573
2010-02-20,all,906
2010-02-21,all,699
2010-02-22,all,936
2010-02-23,all,1358
2010-02-24,all,1844
2010-02-25,all,1088
2010-02-26,all,585
2010-02-27,all,2540
2010-02-28,all,1155
2010-03-01,all,726
2010-03-02,all,1141
2010-03-03,all,1084
2010-03-04,all,1110
2010-03-05,all,733
2010-03-06,all,1164
2010-03-07,all,1364
2010-03-08,all,1020
2010-03-09,all,1942
2010-03-10,all,1639
2010-03-11,all,1634
2010-03-12,all,877
2010-03-13,all,826
2010-03-14,all,2180
2010-03-15,all,955
2010-03-16,all,1132
2010-03-17,all,1274
2010-03-18,all,849
2010-03-19,all,804
2010-03-20,all,761
2010-03-21,all,2126
2010-03-22,all,453
2010-03-23,all,1038
2010-03-24,all,1443
2010-03-25,all,1213
2010-03-26,all,1133
2010-03-27,all,1143
2010-03-28,all,1305
2010-03-29,all,972
2010-03-30,all,1115
2010-03-31,all,1109
2010-04-01,all,1290
2010-04-02,all,642
2010-04-03,all,666
2010-04-04,all,1279
2010-04-05,all,634
2010-04-06,all,746
2010-04-07,all,1220
2010-04-08,all,1734
2010-04-09,all,434
2010-04-10,all,765
2010-04-11,all,1910
2010-04-12,all,646
2010-04-13,all,975
2010-04-14,all,1211
2010-04-15,all,1382
2010-04-16,all,615
2010-04-17,all,1165
2010-04-18,all,1949
2010-04-19,all,579
2010-04-20,all,1140
2010-04-21,all,888
2010-04-22,all,1481
2010-04-23,all,668
2010-04-24,all,811
2010-04-25,all,1572
2010-04-26,all,527
2010-04-27,all,853
2010-04-28,all,982
2010-04-29,all,1448
2010-04-30,all,449
2010-05-01,all,2231
2010-05-02,all,996
2010-05-03,all,502
2010-05-04,all,753
2010-05-05,all,890
2010-05-06,all,1240
2010-05-07,all,521
2010-05-08,all,1284
2010-05-09,all,1451
2010-05-10,all,493
2010-05-11,all,594
2010-05-12,all,764
2010-05-13,all,1130
2010-05-14,all,667
2010-05-15,all,1053
2010-05-16,all,1406
2010-05-17,all,524
2010-05-18,all,1032
2010-05-19,all,1342
2010-05-20,all,1310
2010-05-21,all,1042
