Year,Hospital,State,Age Group,New Donors
2010,Hospital Melaka,Melaka,17-24,6273
2010,Hospital Melaka,Melaka,25-29,1485
2010,Hospital Melaka,Melaka,30-34,985
2010,Hospital Melaka,Melaka,35-39,802
2010,Hospital Melaka,Melaka,40-44,653
2010,Hospital Melaka,Melaka,45-49,481
2010,Hospital Melaka,Melaka,50-54,282
2010,Hospital Melaka,Melaka,55-59,131
2010,Hospital Melaka,Melaka,60-64,16
2010,Hospital Melaka,Melaka,other,9
2010,Hospital Queen Elizabeth Ii,Sabah,17-24,3741
2010,Hospital Queen Elizabeth Ii,Sabah,25-29,1441
2010,Hospital Queen Elizabeth Ii,Sabah,30-34,971
2010,Hospital Queen Elizabeth Ii,Sabah,35-39,635
2010,Hospital Queen Elizabeth Ii,Sabah,40-44,481
2010,Hospital Queen Elizabeth Ii,Sabah,45-49,369
2010,Hospital Queen Elizabeth Ii,Sabah,50-54,191
2010,Hospital Queen Elizabeth Ii,Sabah,55-59,80
2010,Hospital Queen Elizabeth Ii,Sabah,60-64,13
2010,Hospital Queen Elizabeth Ii,Sabah,other,29
2010,Hospital Raja Perempuan Zainab Ii,Kelantan,17-24,5145
2010,Hospital Raja Perempuan Zainab Ii,Kelantan,25-29,617
2010,Hospital Raja Perempuan Zainab Ii,Kelantan,30-34,465
2010,Hospital Raja Perempuan Zainab Ii,Kelantan,35-39,416
2010,Hospital Raja Perempuan Zainab Ii,Kelantan,40-44,321
2010,Hospital Raja Perempuan Zainab Ii,Kelantan,45-49,232
2010,Hospital Raja Perempuan Zainab Ii,Kelantan,50-54,128
2010,Hospital Raja Perempuan Zainab Ii,Kelantan,55-59,48
2010,Hospital Raja Perempuan Zainab Ii,Kelantan,60-64,4
2010,Hospital Raja Perempuan Zainab Ii,Kelantan,other,40
2010,Hospital Raja Permaisuri Bainun,Perak,17-24,6910
2010,Hospital Raja Permaisuri Bainun,Perak,25-29,1358
2010,Hospital Raja Permaisuri Bainun,Perak,30-34,1022
2010,Hospital Raja Permaisuri Bainun,Perak,35-39,889
2010,Hospital Raja Permaisuri Bainun,Perak,40-44,668
2010,Hospital Raja Permaisuri Bainun,Perak,45-49,508
2010,Hospital Raja Permaisuri Bainun,Perak,50-54,275
2010,Hospital Raja Permaisuri Bainun,Perak,55-59,106
2010,Hospital Raja Permaisuri Bainun,Perak,60-64,5
2010,Hospital Raja Permaisuri Bainun,Perak,other,32
2010,Hospital Seri Manjung,Perak,17-24,1434
2010,Hospital Seri Manjung,Perak,25-29,246
2010,Hospital Seri Manjung,Perak,30-34,171
2010,Hospital Seri Manjung,Perak,35-39,134
2010,Hospital Seri Manjung,Perak,40-44,154
2010,Hospital Seri Manjung,Perak,45-49,123
2010,Hospital Seri Manjung,Perak,50-54,44
2010,Hospital Seri Manjung,Perak,55-59,13
2010,Hospital Seri Manjung,Perak,60-64,1
2010,Hospital Seri Manjung,Perak,other,1
2010,Hospital Sultanah Aminah,Johor,17-24,4362
2010,Hospital Sultanah Aminah,Johor,25-29,2817
2010,Hospital Sultanah Aminah,Johor,30-34,2291
2010,Hospital Sultanah Aminah,Johor,35-39,1870
2010,Hospital Sultanah Aminah,Johor,40-44,1448
2010,Hospital Sultanah Aminah,Johor,45-49,921
2010,Hospital Sultanah Aminah,Johor,50-54,436
2010,Hospital Sultanah Aminah,Johor,55-59,147
2010,Hospital Sultanah Aminah,Johor,60-64,15
2010,Hospital Sultanah Aminah,Johor,other,202
2010,Hospital Sultanah Bahiyah,Kedah,17-24,10714
2010,Hospital Sultanah Bahiyah,Kedah,25-29,2503
2010,Hospital Sultanah Bahiyah,Kedah,30-34,1683
2010,Hospital Sultanah Bahiyah,Kedah,35-39,1379
2010,Hospital Sultanah Bahiyah,Kedah,40-44,1178
2010,Hospital Sultanah Bahiyah,Kedah,45-49,811
2010,Hospital Sultanah Bahiyah,Kedah,50-54,452
2010,Hospital Sultanah Bahiyah,Kedah,55-59,200
2010,Hospital Sultanah Bahiyah,Kedah,60-64,16
2010,Hospital Sultanah Bahiyah,Kedah,other,25
2010,Hospital Sultanah Nora Ismail,Johor,17-24,985
2010,Hospital Sultanah Nora Ismail,Johor,25-29,333
2010,Hospital Sultanah Nora Ismail,Johor,30-34,243
2010,Hospital Sultanah Nora Ismail,Johor,35-39,205
2010,Hospital Sultanah Nora Ismail,Johor,40-44,185
2010,Hospital Sultanah Nora Ismail,Johor,45-49,114
2010,Hospital Sultanah Nora Ismail,Johor,50-54,78
2010,Hospital Sultanah Nora Ismail,Johor,55-59,17
2010,Hospital Sultanah Nora Ismail,Johor,60-64,3
2010,Hospital Sultanah Nora Ismail,Johor,other,2
2010,Hospital Sultanah Nur Zahirah,Terengganu,17-24,4520
2010,Hospital Sultanah Nur Zahirah,Terengganu,25-29,650
2010,Hospital Sultanah Nur Zahirah,Terengganu,30-34,399
2010,Hospital Sultanah Nur Zahirah,Terengganu,35-39,255
2010,Hospital Sultanah Nur Zahirah,Terengganu,40-44,209
2010,Hospital Sultanah Nur Zahirah,Terengganu,45-49,143
2010,Hospital Sultanah Nur Zahirah,Terengganu,50-54,66
2010,Hospital Sultanah Nur Zahirah,Terengganu,55-59,18
2010,Hospital Sultanah Nur Zahirah,Terengganu,60-64,1
2010,Hospital Sultanah Nur Zahirah,Terengganu,other,6
2010,Hospital Taiping,Perak,17-24,2
2010,Hospital Taiping,Perak,25-29,1
2010,Hospital Tengku Ampuan Afzan,Pahang,17-24,1051
2010,Hospital Tengku Ampuan Afzan,Pahang,25-29,205
2010,Hospital Tengku Ampuan Afzan,Pahang,30-34,116
2010,Hospital Tengku Ampuan Afzan,Pahang,35-39,92
2010,Hospital Tengku Ampuan Afzan,Pahang,40-44,78
2010,Hospital Tengku Ampuan Afzan,Pahang,45-49,46
2010,Hospital Tengku Ampuan Afzan,Pahang,50-54,15
2010,Hospital Tengku Ampuan Afzan,Pahang,55-59,14
2010,Hospital Tengku Ampuan Afzan,Pahang,other,2
