year,source,target,value
2010,Hospital Melaka,Melaka,11117
2010,Hospital Queen Elizabeth Ii,Sabah,7951
2010,Hospital Raja Perempuan Zainab Ii,Kelantan,7416
2010,Hospital Raja Permaisuri Bainun,Perak,11773
2010,Hospital Seri Manjung,Perak,2321
2010,Hospital Sultanah Aminah,Johor,14509
2010,Hospital Sultanah Bahiyah,Kedah,18961
2010,Hospital Sultanah Nora Ismail,Johor,2165
2010,Hospital Sultanah Nur Zahirah,Terengganu,6267
2010,Hospital Taiping,Perak,3
2010,Hospital Tengku Ampuan Afzan,Pahang,1619
2010,Hospital Tengku Ampuan Rahimah,Selangor,11924
2010,Hospital Tuanku Jaafar,Negeri Sembilan,6182
2010,Hospital Umum Sarawak,Sarawak,5605
2011,Hospital Melaka,Melaka,11083
2011,Hospital Queen Elizabeth Ii,Sabah,8515
2011,Hospital Raja Perempuan Zainab Ii,Kelantan,5855
2011,Hospital Raja Permaisuri Bainun,Perak,11865
2011,Hospital Seri Manjung,Perak,2237
2011,Hospital Sultan Haji Ahmad Shah,Pahang,2984
2011,Hospital Sultanah Aminah,Johor,11617
2011,Hospital Sultanah Bahiyah,Kedah,20865
2011,Hospital Sultanah Nora Ismail,Johor,2297
2011,Hospital Sultanah Nur Zahirah,Terengganu,6527
2011,Hospital Taiping,Perak,7
2011,Hospital Tengku Ampuan Afzan,Pahang,1811
2011,Hospital Tengku Ampuan Rahimah,Selangor,11730
2011,Hospital Tuanku Jaafar,Negeri Sembilan,5956
2011,Hospital Umum Sarawak,Sarawak,4512
2012,Hospital Melaka,Melaka,10654
2012,Hospital Queen Elizabeth Ii,Sabah,8607
2012,Hospital Raja Perempuan Zainab Ii,Kelantan,4204
2012,Hospital Raja Permaisuri Bainun,Perak,11478
2012,Hospital Seri Manjung,Perak,2395
2012,Hospital Sultan Haji Ahmad Shah,Pahang,5530
2012,Hospital Sultanah Aminah,Johor,10590
2012,Hospital Sultanah Bahiyah,Kedah,19518
2012,Hospital Sultanah Nora Ismail,Johor,2326
2012,Hospital Sultanah Nur Zahirah,Terengganu,6102
2012,Hospital Taiping,Perak,223
2012,Hospital Tengku Ampuan Afzan,Pahang,1679
2012,Hospital Tengku Ampuan Rahimah,Selangor,9788
2012,Hospital Tuanku Jaafar,Negeri Sembilan,5656
2012,Hospital Umum Sarawak,Sarawak,4299
2013,Hospital Melaka,Melaka,11177
2013,Hospital Miri,Sarawak,541
2013,Hospital Queen Elizabeth Ii,Sabah,8647
2013,Hospital Raja Perempuan Zainab Ii,Kelantan,4968
2013,Hospital Raja Permaisuri Bainun,Perak,10022
2013,Hospital Seri Manjung,Perak,2343
2013,Hospital Sultan Haji Ahmad Shah,Pahang,3803
2013,Hospital Sultanah Aminah,Johor,9532
2013,Hospital Sultanah Bahiyah,Kedah,19299
2013,Hospital Sultanah Nora Ismail,Johor,2637
2013,Hospital Sultanah Nur Zahirah,Terengganu,5886
2013,Hospital Taiping,Perak,4922
2013,Hospital Tengku Ampuan Afzan,Pahang,1594
2013,Hospital Tengku Ampuan Rahimah,Selangor,8415
2013,Hospital Tuanku Jaafar,Negeri Sembilan,6359
2013,Hospital Umum Sarawak,Sarawak,4489
2014,Hospital Melaka,Melaka,10277
2014,Hospital Miri,Sarawak,4448
2014,Hospital Pulau Pinang,Pulau Pinang,12327
2014,Hospital Queen Elizabeth Ii,Sabah,8206
2014,Hospital Raja Perempuan Zainab Ii,Kelantan,4912
2014,Hospital Raja Permaisuri Bainun,Perak,9722
2014,Hospital Seberang Jaya,Pulau Pinang,6049
2014,Hospital Seri Manjung,Perak,1671
2014,Hospital Sultan Haji Ahmad Shah,Pahang,3782
2014,Hospital Sultanah Aminah,Johor,10287
2014,Hospital Sultanah Bahiyah,Kedah,19423
2014,Hospital Sultanah Nora Ismail,Johor,2578
2014,Hospital Sultanah Nur Zahirah,Terengganu,6006
2014,Hospital Taiping,Perak,3903
2014,Hospital Tawau,Sabah,1
2014,Hospital Tengku Ampuan Afzan,Pahang,1639
2014,Hospital Tengku Ampuan Rahimah,Selangor,8760
2014,Hospital Tuanku Jaafar,Negeri Sembilan,5161
2014,Hospital Umum Sarawak,Sarawak,4623
2015,Hospital Melaka,Melaka,10340
2015,Hospital Miri,Sarawak,2687
2015,Hospital Pulau Pinang,Pulau Pinang,10789
2015,Hospital Queen Elizabeth Ii,Sabah,8315
2015,Hospital Raja Perempuan Zainab Ii,Kelantan,8293
2015,Hospital Raja Permaisuri Bainun,Perak,9546
2015,Hospital Seberang Jaya,Pulau Pinang,6628
2015,Hospital Seri Manjung,Perak,1985
2015,Hospital Sultan Haji Ahmad Shah,Pahang,3631
2015,Hospital Sultanah Aminah,Johor,10428
2015,Hospital Sultanah Bahiyah,Kedah,19560
2015,Hospital Sultanah Nora Ismail,Johor,2477
2015,Hospital Sultanah Nur Zahirah,Terengganu,6252
2015,Hospital Taiping,Perak,3406
2015,Hospital Tawau,Sabah,7
2015,Hospital Tengku Ampuan Afzan,Pahang,1514
2015,Hospital Tengku Ampuan Rahimah,Selangor,8488
2015,Hospital Tuanku Jaafar,Negeri Sembilan,6326
2015,Hospital Umum Sarawak,Sarawak,5190
2016,Hospital Melaka,Melaka,9787
2016,Hospital Miri,Sarawak,2029
2016,Hospital Pulau Pinang,Pulau Pinang,9008
2016,Hospital Queen Elizabeth Ii,Sabah,8026
2016,Hospital Raja Perempuan Zainab Ii,Kelantan,6950
2016,Hospital Raja Permaisuri Bainun,Perak,9786
2016,Hospital Seberang Jaya,Pulau Pinang,5325
2016,Hospital Seri Manjung,Perak,1422
2016,Hospital Sultan Haji Ahmad Shah,Pahang,2814
2016,Hospital Sultanah Aminah,Johor,7987
2016,Hospital Sultanah Bahiyah,Kedah,17369
2016,Hospital Sultanah Nora Ismail,Johor,2402
2016,Hospital Sultanah Nur Zahirah,Terengganu,6091
2016,Hospital Taiping,Perak,3579
2016,Hospital Tawau,Sabah,3589
2016,Hospital Tengku Ampuan Afzan,Pahang,1381
2016,Hospital Tengku Ampuan Rahimah,Selangor,8291
2016,Hospital Tuanku Jaafar,Negeri Sembilan,5937
2016,Hospital Umum Sarawak,Sarawak,5018
2017,Hospital Melaka,Melaka,9387
2017,Hospital Miri,Sarawak,2165
2017,Hospital Pulau Pinang,Pulau Pinang,7492
2017,Hospital Queen Elizabeth Ii,Sabah,8999
2017,Hospital Raja Perempuan Zainab Ii,Kelantan,7
2017,Hospital Raja Permaisuri Bainun,Perak,9088
2017,Hospital Seberang Jaya,Pulau Pinang,4615
2017,Hospital Seri Manjung,Perak,1453
2017,Hospital Sultan Haji Ahmad Shah,Pahang,2185
2017,Hospital Sultanah Aminah,Johor,9610
2017,Hospital Sultanah Bahiyah,Kedah,17365
2017,Hospital Sultanah Nora Ismail,Johor,2179
2017,Hospital Sultanah Nur Zahirah,Terengganu,5756
2017,Hospital Taiping,Perak,3419
2017,Hospital Tawau,Sabah,3254
2017,Hospital Tengku Ampuan Afzan,Pahang,1332
2017,Hospital Tengku Ampuan Rahimah,Selangor,8315
2017,Hospital Tuanku Jaafar,Negeri Sembilan,5367
2017,Hospital Umum Sarawak,Sarawak,4390
2018,Hospital Melaka,Melaka,8655
2018,Hospital Miri,Sarawak,2067
2018,Hospital Pulau Pinang,Pulau Pinang,6784
2018,Hospital Queen Elizabeth Ii,Sabah,7944
2018,Hospital Raja Perempuan Zainab Ii,Kelantan,7190
2018,Hospital Raja Permaisuri Bainun,Perak,9163
2018,Hospital Seberang Jaya,Pulau Pinang,4818
2018,Hospital Seri Manjung,Perak,1861
2018,Hospital Sultan Haji Ahmad Shah,Pahang,2206
2018,Hospital Sultanah Aminah,Johor,9875
2018,Hospital Sultanah Bahiyah,Kedah,16955
2018,Hospital Sultanah Nora Ismail,Johor,1987
2018,Hospital Sultanah Nur Zahirah,Terengganu,6605
2018,Hospital Taiping,Perak,2971
2018,Hospital Tawau,Sabah,3064
2018,Hospital Tengku Ampuan Afzan,Pahang,136
