Year,State,Age Group,Total Blood Donations
2010,Johor,17-24,5347
2010,Johor,25-29,3150
2010,Johor,30-34,2534
2010,Johor,35-39,2075
2010,Johor,40-44,1633
2010,Johor,45-49,1035
2010,Johor,50-54,514
2010,Johor,55-59,164
2010,Johor,60-64,18
2010,Johor,other,204
2010,Kedah,17-24,10714
2010,Kedah,25-29,2503
2010,Kedah,30-34,1683
2010,Kedah,35-39,1379
2010,Kedah,40-44,1178
2010,Kedah,45-49,811
2010,Kedah,50-54,452
2010,Kedah,55-59,200
2010,Kedah,60-64,16
2010,Kedah,other,25
2010,Kelantan,17-24,5145
2010,Kelantan,25-29,617
2010,Kelantan,30-34,465
2010,Kelantan,35-39,416
2010,Kelantan,40-44,321
2010,Kelantan,45-49,232
2010,Kelantan,50-54,128
2010,Kelantan,55-59,48
2010,Kelantan,60-64,4
2010,Kelantan,other,40
2010,Melaka,17-24,6273
2010,Melaka,25-29,1485
2010,Melaka,30-34,985
2010,Melaka,35-39,802
2010,Melaka,40-44,653
2010,Melaka,45-49,481
2010,Melaka,50-54,282
2010,Melaka,55-59,131
2010,Melaka,60-64,16
2010,Melaka,other,9
2010,Negeri Sembilan,17-24,3637
2010,Negeri Sembilan,25-29,838
2010,Negeri Sembilan,30-34,601
2010,Negeri Sembilan,35-39,483
2010,Negeri Sembilan,40-44,283
2010,Negeri Sembilan,45-49,189
2010,Negeri Sembilan,50-54,104
2010,Negeri Sembilan,55-59,45
2010,Negeri Sembilan,60-64,2
2010,Negeri Sembilan,other,0
2010,Pahang,17-24,1051
2010,Pahang,25-29,205
2010,Pahang,30-34,116
2010,Pahang,35-39,92
2010,Pahang,40-44,78
2010,Pahang,45-49,46
2010,Pahang,50-54,15
2010,Pahang,55-59,14
2010,Pahang,60-64,0
2010,Pahang,other,2
2010,Perak,17-24,8346
2010,Perak,25-29,1605
2010,Perak,30-34,1193
2010,Perak,35-39,1023
2010,Perak,40-44,822
2010,Perak,45-49,631
2010,Perak,50-54,319
2010,Perak,55-59,119
2010,Perak,60-64,6
2010,Perak,other,33
2010,Pulau Pinang,17-24,0
2010,Pulau Pinang,25-29,0
2010,Pulau Pinang,30-34,0
2010,Pulau Pinang,35-39,0
2010,Pulau Pinang,40-44,0
2010,Pulau Pinang,45-49,0
2010,Pulau Pinang,50-54,0
2010,Pulau Pinang,55-59,0
2010,Pulau Pinang,60-64,0
2010,Pulau Pinang,other,0
2010,Sabah,17-24,3741
2010,Sabah,25-29,1441
2010,Sabah,30-34,971
2010,Sabah,35-39,635
2010,Sabah,40-44,481
2010,Sabah,45-49,369
2010,Sabah,50-54,191
2010,Sabah,55-59,80
2010,Sabah,60-64,13
2010,Sabah,other,29
2010,Sarawak,17-24,2293
2010,Sarawak,25-29,911
2010,Sarawak,30-34,702
2010,Sarawak,35-39,674
2010,Sarawak,40-44,419
2010,Sarawak,45-49,362
2010,Sarawak,50-54,177
2010,Sarawak,55-59,61
2010,Sarawak,60-64,1
2010,Sarawak,other,5
2010,Selangor,17-24,4349
2010,Selangor,25-29,2200
2010,Selangor,30-34,1690
2010,Selangor,35-39,1277
2010,Selangor,40-44,1122
2010,Selangor,45-49,696
2010,Selangor,50-54,356
2010,Selangor,55-59,138
2010,Selangor,60-64,32
2010,Selangor,other,64
2010,Terengganu,17-24,4520
2010,Terengganu,25-29,650
2010,Terengganu,30-34,399
2010,Terengganu,35-39,255
2010,Terengganu,40-44,209
2010,Terengganu,45-49,143
2010,Terengganu,50-54,66
2010,Terengganu,55-59,18
2010,Terengganu,60-64,1
2010,Terengganu,other,6
2010,W.P. Kuala Lumpur,17-24,27929
2010,W.P. Kuala Lumpur,25-29,11278
2010,W.P. Kuala Lumpur,30-34,7775
2010,W.P. Kuala Lumpur,35-39,5286
2010,W.P. Kuala Lumpur,40-44,3562
2010,W.P. Kuala Lumpur,45-49,2312
2010,W.P. Kuala Lumpur,50-54,1265
2010,W.P. Kuala Lumpur,55-59,429
2010,W.P. Kuala Lumpur,60-64,46
2010,W.P. Kuala Lumpur,other,17
2011,Johor,17-24,4682
2011,Johor,25-29,2618
2011,Johor,30-34,2057
2011,Johor,35-39,1670
2011,Johor,40-44,1270
2011,Johor,45-49,895
2011,Johor,50-54,455
2011,Johor,55-59,156
2011,Johor,60-64,12
2011,Johor,other,99
2011,Kedah,17-24,12906
2011,Kedah,25-29,2385
2011,Kedah,30-34,1569
2011,Kedah,35-39,1370
2011,Kedah,40-44,1120
2011,Kedah,45-49,780
2011,Kedah,50-54,517
2011,Kedah,55-59,182
2011,Kedah,60-64,16
2011,Kedah,other,20
2011,Kelantan,17-24,4108
2011,Kelantan,25-29,541
2011,Kelantan,30-34,313
2011,Kelantan,35-39,294
2011,Kelantan,40-44,242
2011,Kelantan,45-49,168
2011,Kelantan,50-54,103
2011,Kelantan,55-59,56
2011,Kelantan,60-64,4
2011,Kelantan,other,26
2011,Melaka,17-24,6511
2011,Melaka,25-29,1453
2011,Melaka,30-34,968
2011,Melaka,35-39,669
2011,Melaka,40-44,588
2011,Melaka,45-49,434
2011,Melaka,50-54,261
2011,Melaka,55-59,143
2011,Melaka,60-64,14
2011,Melaka,other,42
2011,Negeri Sembilan,17-24,3457
2011,Negeri Sembilan,25-29,811
2011,Negeri Sembilan,30-34,590
2011,Negeri Sembilan,35-39,435
2011,Negeri Sembilan,40-44,326
2011,Negeri Sembilan,45-49,189
2011,Negeri Sembilan,50-54,95
2011,Negeri Sembilan,55-59,50
