DataSeries,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Blood Donors,79365,77424,74154,69032,72130,75655,73619,73107,73587,71277,68868,70824,70855,67310,63796
    Male Donors,47313,46640,44413,41913,41784,45140,44431,45127,45506,44367,44146,45942,46686,44174,42203
    Female Donors,32052,30784,29741,27119,30346,30515,29188,27980,28081,26910,24722,24882,24169,23136,21593
New Donors,17817,17178,18093,19122,20046,17557,19947,20425,21420,20006,19658,20042,21306,21791,18989
Regular Donors,31636,29922,29606,29075,29966,27631,28087,28236,28057,28174,26817,27917,26300,25635,24243
Youth Donors,10835,11329,12527,13967,15478,17859,18424,19286,19515,20108,20452,21999,22451,21793,21169
Total Blood Donations,128019,122668,117967,114471,117272,116789,115826,116127,115976,112713,108058,111626,108593,104894,99355
    Bloodbank@HSA,28848,32411,33196,30521,30122,25843,26592,27517,27991,32522,35554,39506,49083,51138,56876
    Bloodbank@Woodlands,16521,17088,18597,17729,16858,13614,13439,13898,14290,14737,14457,14357,13841,10472,na
    Bloodbank@Dhoby Ghaut,25997,27261,26118,27547,28873,26572,25654,24005,24737,24210,22230,19782,4106,na,na
    Bloodbank@Westgate Tower,22749,23559,25586,24101,23025,19856,18750,17456,15317,8270,na,na,na,na,na
    Bloodbank@One Punggol,16382,6194,na,na,na,na,na,na,na,na,na,na,na,na,na
    Blood Mobiles,17522,16155,14470,14573,18394,30904,31391,33251,33641,32974,35817,37981,41563,43284,42479
"Mean Donations Per 1,000 Total Population",21.2,20.7,20.9,21,20.6,20.5,20.5,20.7,20.7,20.4,19.8,20.7,20.4,20.2,19.6
